,ID,Text,Sub-task A,Sub-task B,en_translation
24,C36.967,"Negative positive दोनों h sir 😊 negative ye h ki ham kisi ko uske gender s
judge ni kar sakte uske andar अपने देश के लिए देशभक्ति h tabhi vo army join
karega. Positive ye h ki bipin रावत का कहना सही h ki army m gays r not allowed
उनके army के acts जो कहते h 45 nd 46a.....",NAG,NGEN,Negative positive both h sir negative ye h ki ham kisi ko uske gender s judge ni kar sakte uske andar patriotic H Tabhi Vo Army Join Karega for your country. Positive Ye H Ki Bipin Rawat says right h ki army m gays r not allowed to say acts their army h 45 nd 46a .....
25,C26.268,yeh hua sahi insaaf in jise b*%$# aurato ko yeh saza milne chaihye,CAG,NGEN,It was perfect justice in that B *% $ # women meet this sentence Chehye
26,C36.1088.2,Toh kya ladkiyan bhi nahi honi chahiye,CAG,NGEN,So what girls should not
27,C33.485,"Ye chutiya ladki kon h be ... ... kuch v baak dethi h ......... noob girl ...
😂😂🤣🤣 ..",OAG,GEN,These schools hold the bloody girl ... ... are also some persons remaining ......... Nuova Nube Girl ... ..
28,C4.1425,Netflix bhi faltu chiz mai Masters kara rakha hai.,NAG,NGEN,Netflix has also made Masters superfluous thing Mi K
29,C9.264,Ky sahi bolne se maan liya jaye ga....,NAG,NGEN,Ga right Assuming you speak ....
30,C10.368,Mujhe taras aata taaliya bajane wale chutio pe...,CAG,NGEN,I have compassion Talia musicians Chutio pe ...
31,C9.87,"Ye aagar congress raj me hota aur bjp ka koi neta ye ragga billa ki line
bolata toh ye rajdeep ussee constitution , democracy, falana falana gyaan deke
usse kosate  
Par abhi ulta hai....bjp raaj hai and khangress ,communist favour ki writer ye
bol rahi hai toh ab rajdeep ko saap sung gaya...ab lighter mode pai hai  
Issee kehete hai HYPORACY",CAG,NGEN,"Ye aagar congress raj me hota aur bjp ka koi neta ye ragga billa ki line bolata toh ye rajdeep ussee constitution, democracy, falana falana gyaan deke usse kosate Par abhi ulta hai .... bjp raaj hai and khangress, communist favour ki writer ye bol rahi hai toh ab rajdeep ko saap sung gaya ... ab lighter mode pai hai Issee kehete hai HYPORACY"
32,C7.2300,Mai left se ek hi kaam karta hu Pichwada dhone ka 🤣😂😂😂,OAG,NGEN,The same thing may Left does come to carry the back
33,C25.507,धन्यवाद दीपिका भारद्वाज ।आप सही कह रहीं हैं ।,NAG,NGEN,Thanks Deepika Bhardwaj .You were right.
34,C4.1516,Bolte aap mst h n realistic,NAG,NGEN,Bolte aap mst h n realistic
35,C4.2059,"**Shwetabh bhaiya, ye galat baat galat hai aap ek dum se bahaut saari videos
daalte hoo phir ek dum gayab!! Isse accha ek hafte/10 din mein ek video
daalo!!**",NAG,NGEN,"** whitish Brother, this is the wrong thing to the wrong you've put a lot of videos at once then suddenly disappear !! It put a video in a good week / 10 day !! **"
36,C20.58,Jal gayi yrr teri to,CAG,NGEN,"Water was Yrr Yours,"
37,C20.327.2,@Prabhat kumar ab tu choosega na. Tab saaf hojayega,OAG,NGEN,@ Prabhat Kumar now thou Cusega. Clear Hojayega
38,C4.356,The darknight ka review kariye please,NAG,NGEN,The dark knight ka review kariye please
39,C4.694.1,"@KHAN SHAHAB abey jhaatu overseas ki baat mat kar jyaada.....foreign countries
me tum logo ko airport pe nanga karwaate hai hahahahahahhah😂😂😂😂😂😂😂😂......pehle
to visa hi nahi milta",OAG,GEN,@KHAN SHAHAB abey jhaatu overseas ki baat mat kar jyaada ..... foreign countries me tum logo ko airport pe nanga karwaate hai hahahahahahhah ...... first visa not get
40,C7.2371,Roz ki apeksha aaj ka view Acha hai,NAG,NGEN,Daily contemplated View Acha today
41,C45.273,Kaunsa jaga h adress do,NAG,NGEN,Which wake percent Adress two
42,C4.1695,"Menay bi yahi kiya ....  
Abb meri zindgi ky waqai may hi lag gy..😂😂😂",NAG,NGEN,Mene suit .... Abb went only look on Really my life ..
43,C7.516,"Sach kadwa hota hai iska example aap video k dislike dekh ke pata laga sakte
hai",NAG,NGEN,The bitter truth is that example you can find out of watching the video of the Dislike
44,C7.1756,"Abe bc ye kis angle se movie review that Bhai yrr hard hoti h bc maana tumne
baat said kahi lekin ispe tujhe ek alag video banani chahiye this tune title
daala h Kabir Singh review or bc baat kuch or hi Kar raha h bc",OAG,GEN,Abe bc ye kis angle se movie review that Bhai yrr hard hoti h bc maana tumne baat said kahi lekin ispe tujhe ek alag video banani chahiye this tune title daala h Kabir Singh review or bc baat kuch or hi Kar raha h bc
45,C36.301,"Army me haame jabardast jawanoo ki jarurt he taaki haam desh ko sheroo ki
faujj de hizzdo ki Sena nahi chahiye",OAG,GEN,"In the Army, we need strong men, so we should not force Hijhghde give Fujj of sheroo country"
46,C7.757,"Bhai I just hope that jab aapki beti college ke pehle din entrance exam me
rank laake admission le tab koi chutiya bewdaa class me jaake ye na bole ki wo
meri property hai,sab durr rehna usse.",OAG,GEN,"Bhai I just hope that jab aapki beti college ke pehle din entrance exam me rank laake admission le tab koi chutiya bewdaa class me jaake ye na bole ki wo meri property hai, sab durr rehna usse."
47,C4.2252,Bhai kya baat hai back to back videos...... AUR KAISA HAI LAUNDE,NAG,NGEN,Brother is back-to-back videos ...... and what is Lunde
48,C9.111,"अरुंधति का कोई विचार ही नही है तो विचारों की लड़ाई क्या खाक लड़ेगी ।उसका केवल एक
ही विचार है भारत वीरोध ।इससे अस्पष्ट मेरे पास कोई शब्द नही ।",CAG,NGEN,Any idea of ​​Arundhati Not only is the battle of ideas contest what destroyed Kuska only consider India Virod accepted.Earlier obscure I have no words.
49,C9.266.1,Hindu Muslim dange sirf politics se bhadakte hai..otherwise log peaceful hai,NAG,NGEN,Hindu-Muslim riots just angrily Hakkothervise people Peaceful and Politics
50,C33.184,nice video realety hai bai,NAG,NGEN,nice video realety hai bai
51,C10.1213,"Yeh pagal aurat hai.... Dnt listen to her ....isk e jaise aur bhi ghum rage
hai, jaha dikhe juta khol kar maro",OAG,GEN,"This crazy woman .... dental Listen to hit every .... its sector Rage like movement, where you see the shoe shell"
52,C4.1434.2,Maine bhi 🙋.Pata nahi movie ne 280 crore kaise kama li.,NAG,NGEN,I did not even Kpta movies have earned him how 280 million.
53,C32.99,"ye short movie bkvas...hai...is sabke..thot..kharab aaye gay LGBT..ke bare..me
koi aesa to nai kare ga Or.. jo..Gay.ho..te..ho vo..ae gunday..nai hote.
Decent Or innacent...hote..koi..aesi.short film..banavo..jise..sabke..vichar
achhhe aaye aese.gande vichar vali mat banvo.plz...😞😞🙏🙏🙏",NAG,NGEN,ye short movie bkvas ... is ... is Sabkekkthotkkkharab aaye gay LGBTkkke Barekkme koi aesa to nai kare ga Or .. Jokkgekhokktekkho are Vokkae Gundaykkna. Decent Or innacent ... Hotekkkoikkasikshart Filmkkbnvokkjisekksbkekkvichar achhhe aaye aese.gande vichar vali mat Banvokplsh ...
54,C7.177,Feminists chutiya h movie bahot kamal h bhai ji you are right,OAG,NGEN,Pheministsa cutiya movies are bringing lotus Yes brother Ray J Eau righata
55,C4.2207,Pura sahi keh rhe ho ap,NAG,NGEN,You're full right
56,C43.39,Gay hind,NAG,NGEN,Gay hind
57,C21.270.1,@Mayank Tyagi yeah,NAG,NGEN,@Mayank Tyagi yeah
58,C7.2368,"Feminist or Liberals ki maaki saale kabhi ek achi or good content ki movie se
kush nahi honge",OAG,NGEN,Feminist and Liberals Maki brother will never be happy with a gtk and good content film
59,C19.136,"Realese ke pahle hi review matlab producer ne special screening me film
dikhayi hai. To ab free le popcorn aur samose ke bad burai thodi karega.
Review relese ke bad walon ka dekhna.",CAG,NGEN,Release ke pahle hi review matlab producer ne special screening me film dikhayi hai. To ab free le popcorn aur samose ke bad burai thodi karega. Review relese ke bad walon ka dekhna.
60,C4.722,Bhai men sutra channey ku band hua?,NAG,NGEN,Closed formula CHANNI brother?
61,C21.228,"Kisi bhi movie ka vastabik review aap se behetar kohi karhinahisakta. Aap ko
movie review ka oscar milna chahiye. Thanks a lot",NAG,NGEN,Any movie Wastbik review better Kohi Krhinhinskta you. You should get an Oscar for the movie review. Thanks A Lot
62,C21.176,Section 375 and Pailwan dono mast movies hai..,NAG,NGEN,Section 375 and Pailwan dono mast movies hai..
63,C21.24,"Ladke ki glti bhi h ki use ladki ka miss use nhi krna chiye..uske talent ko
dekh kr aage bdana chiye na ki miss use krke or ladki ne..ladke ko ek trh se
glt mukdme pr fasaya h",NAG,NGEN,Ladke ki glti bhi h ki use ladki ka miss use nhi krna chiye..uske talent ko dekh kr aage bdana chiye na ki miss use krke or ladki ne..ladke ko ek trh se glt mukdme pr fasaya h
64,C38.143,"[4:20](https://www.youtube.com/watch?v=ZzsAuDkXq1M&t=4m20s) aunty ji...kuch
fight Ni krni pdti...grow up",CAG,NGEN,[4:20](https://www.youtube.com/watch?v=ZzsAuDkXq1M&t=4m20s) aunty ji...kuch fight Ni krni pdti...grow up
65,C10.506,Ranga billa...Arnabh,NAG,NGEN,Painted badge ... Aarnab
66,C21.208,bhai adhe se zyada story plot to phle hi bta deta.. dekhne ka mun ni krta fr,CAG,NGEN,Brother half of the story plot so upfront .. does not mind to see Fr.
67,C7.1934,"Jab koi larki galti kare toh news channel me uska sehra blur kar diya jata he
or Jab ek larka galti kare toh uske sehre par zoom mar mar kar dikhaya jata he
yeh kahe ka equality",CAG,NGEN,Jab koi larki galti kare toh news channel me uska sehra blur kar diya jata he or Jab ek larka galti kare toh uske sehre par zoom mar mar kar dikhaya jata he yeh kahe ka equality
68,C7.2417.3,"@Aakash kale Ar woh chinal Sucharita, Captain Marvel movie movie mein yus
bitch Brie Larson ko sar pe utha liya tha apne review mein.",OAG,GEN,"@ Sky KALE door he Cinl sucharita, captain Yus between Brie Larson in the Marvel Movie Movie lifted the head in his review."
69,C7.945,Shahid kapoor ke bade bhai lagaoge aap(movie me ),NAG,NGEN,Elder brother Shahid Kapoor Will you) Movie (
70,C33.58,Gadar video ...Bahut hasi aa rahi hai,NAG,NGEN,Ghadar video ... coming very Hussey
71,C7.938,Pura movie bata diye app,NAG,NGEN,Diye testify movie Touch app
72,C4.2113,"bhai help plzz .... ma akelepan ki wajah se hard work nahi kar raha... ma na
english seekh pa raha.. dar lag raha ke friends na honey ki wajah se ma
zindagi me kuch bhi nahi kar paongah",NAG,NGEN,bhai help plzz .... Mom does not work hard because of loneliness ... ma na english seekh pa raha .. dar lag raha ke friends na honey ki wajah se ma zindagi me kuch bhi nahi kar paongah
73,C9.302,Ranga or billa do zalim tha.,NAG,NGEN,Ranga and Billa two unjust.
74,C4.68,Maine abhi tak kabir singh movie nhinnn dekhi hain 👍😂😂😂,NAG,NGEN,I have yet Kabir Singh Movie Nhinnn observed
75,C7.1244,Har cheez ko mudda kaise bnaya jata hai pratik se seekho,CAG,NGEN,Everything is made to issue learn necklace
76,C25.480,ravis ji ab bhul jaao ab ladki esi nhi hai,NAG,NGEN,Ravish G Forget Now the girl is not
77,C7.1373,Suchitra Tyagi ko bohot problem hai is movie se,NAG,NGEN,Suchitra Solitaire this movie love that is the problem?
78,C36.752,"The Great Alexandra ne apni army me Gay ko Jayda rakha aur dunya pa Raj kia
tha...",NAG,NGEN,The Great Alexander had Jayda cow in its army and Dunya plant kingdom Kia ...
79,C21.91,Mere bhai k saath v galat ho raha hai,CAG,NGEN,With that my brother business is going wrong
80,C4.2101.2,@Feminism Is CANCER Ekdam Sahi bola Bhai.,CAG,NGEN,@ Feminism cancer perfect uttered brother.
81,C7.1532,Ye apki ego ka issue mardo ka nhi.,OAG,NGEN,These are not the issue Mrdo your ego.
82,C36.1069,thoda physically unfit hone pe nikal dete hai army mai....,NAG,NGEN,Giving a little physically unfit to pay out Army in May ....
83,C38.59,auto wale bhayya best 😗😗😗,NAG,NGEN,Auto Brother Best
84,C38.511.1,"Arey beta chutiya, Tu idhar bhi aagaya apna regressive stigma leke.",OAG,NGEN,"My dear bloody, thou hither also has it come your Rgressive stigma Lecce."
85,C10.1365,Yah mail hai ya female hai..,NAG,NGEN,This mail or female ..
86,C33.91,You konsa chudappa hai,OAG,GEN,You thus chudappa hai
87,C36.424,"Ummmmmm...... Agr kisi m potential h desh ki sewa krne ki to ese uski personal
life se desh ki sewa connect krna thk ni h kuki desh se pyar to desh se pyar
hi hota h uske liye koi b mar mitne ko tyar ho skta h..... Koi b desh ki
raksha krne k lye ye ni sochega k wo gay ya kuch b h to desh ki raksha ku
kre.... is desh m rehta h wo uske b kuch duties h",NAG,NGEN,Ummmmmm ...... Agr kisi m potential h desh ki sewa krne ki to ese uski personal life se desh ki sewa connect krna thk ni h kuki desh se pyar to desh se pyar hi hota h uske liye koi b mar mitne ko tyar ho skta h ..... Koi b desh ki raksha krne k lye ye ni sochega k wo gay ya kuch bh to desh ki raksha ku kre .... is desh m rehta h wo uske b kuch duties h
88,C7.2084,Feminism ki maa chod dee 🤣🤣,OAG,GEN,Plants in feminism D
89,C7.964.4,Ekdum sahi yr,NAG,NGEN,Perfect Year
90,C7.1912,"May v apki batose agree karta hu.. asi film oo se hum sabko sikhna chaiye k
kaha galatiya nahi karna.. so thanku so much sir ashi hi acchi.. Videos ki
apeksha karti hu",NAG,NGEN,May v apki batose agree karta hu .. asi film oo se hum sabko sikhna chaiye k kaha galatiya nahi karna .. so thanku so much sir ashi hi acchi .. Videos ki apeksha karti hu
91,C36.940.4,Bakhwas baat hain khas Thor par smaglikta ke to or pe,CAG,NGEN,So Bakwas thing especially Smglikta and PE
92,C7.530,"Bhai libreals se kya masla hai ..atankwadiyoon ki list mein nathuraam ka naam
kyu nahi liya..HYPOCRISY ki bhi seema hoti hai",CAG,NGEN,Brother of Nathuram list of what the issue is Kkatnkwdiun the Liberals Why is there a limit to not Liakkhypokrisi
93,C7.964.1,Sai kha,NAG,NGEN,Sai kha
94,C25.602,India ka nvyuvk isi 498me brbad ho rha hai,CAG,NGEN,India's youth is wasted on the 498
95,C7.1524,"Bhai apka review dekhne ke baad maine Faminest ke sabse bade kathit thekedar
Lallantop ka review dekha kasam se aisa laga ki hathi ko dekh kar kutte bhaok
rahe hai",CAG,NGEN,Bhai apka review dekhne ke baad maine Faminest ke sabse bade kathit thekedar Lallantop ka review dekha kasam se aisa laga ki hathi ko dekh kar kutte bhaok rahe hai
96,C7.1531,Bhai tu samil hoja rss mai ya bjp mai.. oh sry dono ek hi hai,CAG,NGEN,Brother you joined Hoja RSS may or may BJP .. Oh do both at the same
97,C26.232,mujrim tum nahi mujrim hamara savidhaan hai hamare desh ka sistem hai,CAG,NGEN,Criminals do not offending Our Constitution is our country's system
98,C4.523,Kya banda hai ye,NAG,NGEN,What the banda
99,C9.313.3,"@PUSHKAR DHAKAR DHAKAR LUCKY galti tumhari nahi hai kyon ke tum padhelikhe
andh bhakt ho",CAG,NGEN,"@ Pushkar guard officer Lucky fault is not yours, why you are educated blind man"
100,C4.1126,"Sahi he bhai  
Bhot hard",NAG,NGEN,Right brother very hard
101,C4.76,"Agr tujhe Kabir Singh ka message smjh nahi aaya.....toh Joker khaa se smjh aa
gayi...... Doctor m bhi hn....isse jaada bkchodi krte h hm😂",CAG,NGEN,If you Huh also the doctor ...... was understood not come ..... Toh clowns eat understood the message of Kabir Singh .... It has much Bkchodi we
102,C4.2029.4,"@Eminem Vevo typical Indian mindset, jab kuch bolne ko nahi hai toh gaali
galoch, tu zeher khaa le saale dharti ke bhoj anpadh gawar maa baap ki anpadh
gawar low class aulaad !! Bhak loser",OAG,NGEN,"@Eminem Vevo typical Indian mindset, jab kuch bolne ko nahi hai toh gaali galoch, tu zeher khaa le saale dharti ke bhoj anpadh gawar maa baap ki anpadh gawar low class aulaad !! Bhak loser"
103,C7.1283,"<https://youtu.be/Etb1qmvEhBQ> ha to aap iss mahan stree ke review ki baat kr
rahe the galti se iska review dekh liya abhi tk sar dard kr raha hai mera🤣🤣🤣🤣",CAG,NGEN,<Httpः: //yutukbe/etb 1 Kmvabk> If you see this review by mistake this is great you were talking to a woman's Review is a headache yet I
104,C20.327.4,"@Prabhat kumar chal aaja phir. 45th lane, 3rd main, Andheri, Nayi dilli. Apna
baap ke aulaad h toh aaja.",OAG,GEN,"@ Prabhat Kumar on Aja again. 45 Health Lane, 3rd I, dark, New Delhi. Children of your Father percent Toh Aaja."
105,C59.261,Ranu di jio,NAG,NGEN,Ranu D for its GQ
106,C4.1314,..swetabh bhai ka yai to mast lgta h way of presentation 😂,NAG,NGEN,It feels so cool to Kksvetab brothers Way of presentation
107,C4.1318.4,@Manish goplani apko uss movie me pasand kya aaya?,NAG,NGEN,@ Manish Goplani How did you like the movie?
108,C4.2224,movie Dekha nhi par .. chaliye kuch sikhne ko to milega,NAG,NGEN,No movie seen .. Let's get you some learning
109,C4.1884,"Shewtaab bhai  
Review on movie joker 🃏 plssss",NAG,NGEN,Review on Shewtaab bhai movie joker plssss
110,C36.836.3,"@Mr.Jonswat haan sahi kaha gay hain but Top jo tum jaiso ki border par Bot
martey hain. Ab Top or Bot ka matlab mat puchiyo ganwaar. India tmhare desh se
bahut aagey hai samjhe, yaad rakhna.",CAG,NGEN,"@ NrkJonswat haan sahi kaha gay hain but Top jo tum jaiso ki border par Bot martey hain. Ab Top or Bot ka matlab mat puchiyo ganwaar. India tmhare desh se bahut aagey hai samjhe, yaad rakhna."
111,C7.196,Kabir s movie 6/10 hai,NAG,NGEN,Kabir s movie 6/10 hai
112,C7.1198,"Swara jo karti hai.  
Wahi wo har ladki se karwana chahti hai....ungli karne wali ko sachcha payar
kahan se achcha lagega.",CAG,NGEN,Swra does that. She wants to get every girl .... will make the best of where the true love to finger.
113,C4.45,**Kabir Singh movie bilkul bhi** **practical life se related nhi hai**,NAG,NGEN,** Kabir Singh movie is not at all related to ** ** Practical Life **
114,C4.2216.1,@Nareshkumar Ravanaboina teri ma ka bhosda,OAG,GEN,@ Nreshkumar Ravnboina your mother Bhosdha
115,C7.1788,Bhai stranger Things ka full review kar do plz,NAG,NGEN,Bhai stranger Things ka full review kar do plz
116,C7.2034,"Lust stories etc sexual movie nahi dekhta or iski jagah porn dekhta hu lo
Karlo judge 😑",NAG,NGEN,Lust Stories Ets I do not see sexual movies and sees instead Porn Take Krlo judge
117,C38.192,Her kisi ke apni life hae,NAG,NGEN,Everyone has their own life
118,C38.42,Khatam Matlab khatam 😆😆😆 uncle ko khatam hona mangta h apun,OAG,NGEN,Perfecting means are asking to be perfecting perfecting Uncle APN
119,C4.1645,Kabir singh chutiya movie h,NAG,NGEN,Kabir Singh bloody film schools
120,C7.1216,Tujhe aurat ne hi janm diya he naa??,CAG,GEN,You woman gave birth to the right ??
121,C7.2480,"Bengali movie Durgeshgorer Guptodhon ki movie review do...  
""Guptodhoner Sondhane"" is available on Prime Video.... Movie review do iska",NAG,NGEN,"English Movie r ... durgesagarera treasure movie review ""in search of treasure,"" the Prime abhayalabale and movie reviews video .... r iska"
122,C7.865,"Bohot accha bola
vai....[#loveyoubro](http://www.youtube.com/results?search_query=%23loveyoubro)",NAG,NGEN,Bohot accha bola vai....[#loveyoubro](http://www.youtube.com/results?search_query=%23loveyoubro)
123,C9.95,Aise hi hai,NAG,NGEN,Such as
124,C4.489,"Yeh bhaijaan jo bol rha hai sahi hai.. Par ek doubt hai agar koi Bollywood Ka
koi director ya producer isko role offer kiya toh yeh kbhi naa nhi kahega🤣🤣🤣",NAG,NGEN,It Baijan speaking that is correct .. If a doubt no one director or producer this role offers Bollywood loses it never will say no
125,C61.360,Behen chod ranu mondol,OAG,GEN,Behen leave Rnu Mondol
126,C7.559.3,@Rewati Raman Kumar normal movie review bhi tho karr sakta,NAG,NGEN,@ Revathi Raman Kumar normal movie review can also
127,C32.107.2,@Ali Khan MUJHE TOH REPLY DEDO,NAG,NGEN,@ Ali Khan I Toh Reply Give
128,C4.1644,"**Toxic relationship** dekhna hai toh Nana Patekar ki movie dekho **Agni
Sakshi**",NAG,NGEN,** toxic relationship ** See Toh film Nana Patekar look ** Agni Sakshi **
129,C4.2130.4,"Kesari  
Andhadhun  
Bhadhai Ho  
Batla House",NAG,NGEN,Kesari Andhadhun Badhi be Batla
130,C9.241,Lallantop v bik gaya Kya🤔?,NAG,NGEN,What was sold Lllntop business?
131,C7.631.1,Bhak madarchod,OAG,GEN,Initial mofo
132,C7.1045,Yen feminist ko ek line mey khada karke goli marney chahiye...,OAG,GEN,Yen Feminist must must be destroyed completely shot by standing in a line ...
133,C20.114,Nikal lawdi,OAG,NGEN,Out Ludi
134,C7.1951,Hypocrisy ki bhi seema tod di librandus ne or feminist ne,CAG,NGEN,Break limits Hypokrisi gave Librands and feminist
135,C36.933,"जहाँ हर रोज rape करने वाले बैठे हो, जो कि जिस्म के भूखे है, क्या मेरे ऐसे देश
मे भी Homosexual लोग हो सकते हैं, अजब गजब कथा सुनने में आता है, दिमाग confused
हो जाता है🤔🤔🤔",CAG,NGEN,"Where everyday rape sitting to that starving the body, what comes to my country on can be Homosexual people hear strange amazing tale, the brain gets confused"
136,C7.754,"Kisi ne comment m kaha tha movie review dekhne aaya tha liberals aur feminist
kya h kisa h sunne nhi.... 😒",NAG,NGEN,Someone said in comments come watch a movie review Liberals and Feminist what level Kisa percent does not sound ....
137,C9.123,"खाजदीप और रण्डी अंदाती राय दोनों की मां चुदेगी याद रखना कितनी बार इनके गाल पीट
दिए पर बेशर्म है। लंद जीतेगी विचार से तो पाक की रखैल है भोसडीके",OAG,GEN,Khajadeep and Arndi Andati opinion shameless at times given their cheeks Pete remember Chudegi both the mother. London wins consider Pak's mistress from Bhosdike
138,C21.2,Gaaandu uneducated Indian fool.,OAG,NGEN,Indian pool uneducated ear.
139,C7.1922,Bhai issi tarah lage raho i supported you,NAG,NGEN,Brothers likewise be supported Mr. Yu
140,C4.294,Bhai akdam sahi kaha ✌😂,NAG,NGEN,Brother Perfect
141,C7.1467,"Kya yaar sir apne bohot kharab Kiya  
Spoiler kyu de diya yaaar😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭",NAG,NGEN,What man Sir gave us his love that spoiler is bad man
142,C7.78,Bina feminist aur liberal kahe koi review de sakta hai Kya? Shame on you?,CAG,NGEN,Do not give feminist and liberal speaks review? Shame On You?
143,C21.312,Jai sree ram pratik bhaii.. 🙏,NAG,NGEN,Jai Shri Ram symbol brother ..
144,C7.160,"Film hai to chalta hai.... Lekin kisi class mein jaa kar ye bolna ki white
dress wali bandi jiska naam mujhe nahi pataa wo meri bandi hai... Ye bilkul v
realistic nahi tha....",CAG,NGEN,Film hai to chalta hai .... Lekin kisi class mein jaa kar ye bolna ki white dress wali bandi jiska naam mujhe nahi pataa wo meri bandi hai ... It was not at all and Realistic ....
