,ID,Text,Sub-task A,Sub-task B,en_translation
16,C59.62,Tui ki ranu dir kom kichu,CAG,NGEN,Did you do anything less Ranu poor
17,C59.1269,Ar beasi din na ranu mandal,NAG,NGEN,Swing Kings Deen's ranu Mandal
18,C68.1320,কোথাকার ভিকারি,CAG,NGEN,Oh bhikari
19,C44.168,Kotha theke kuje eneche esob artist 😂😂😂😂😂😂😂😂,NAG,NGEN,The artist brings to the kuje
20,C68.221,"Rana gahater lok ran a ghate takho
🤣🤣🤔🤔🤯",CAG,NGEN,Rana gahater lok ran a ghate takho
21,C68.1121,রানুদি হাই কোটে গিয়ে ভিখা কোরতো............😁🤗😁.......,CAG,NGEN,He went to the High Court ................... begging ranudi
22,C65.189.1,ha ha ha,NAG,NGEN,ha ha ha
23,C68.1189,Akdom thik bolechen dada,NAG,NGEN,Dada said okay
24,C59.397,Ja bole6o vai .....ekdom,NAG,NGEN,Blair is at 6 and my brother .....
25,C45.317,"CAMERA KORTE SEKH BOKACHODA
TARPOR CHULKATE JABI",OAG,GEN,Sheikh evil to the camera and then scratch JU
26,C68.624,Bhogoban ar chakor sobai,NAG,NGEN,And the Lord's servant
27,C45.550,"সবাই ঠিক আছে, এ ভিডিওটা করছে ওদের কিছু কাস্টমার বাড়ানোর জন্যে আর কিছু না ।",NAG,NGEN,"All right, this is the video they do not do anything to increase the customer."
28,C45.186.3,Hmm,NAG,NGEN,Hmm
29,C68.647,beti ta khub soytan bikari . manus re khub opman kore.,OAG,NGEN,It sold very sayatana Betty. Ray is very insulting humans.
30,C68.978,যেখান থেকে নিয়ে আসা হয়েছে আবার সেখানে গিয়ে রেখে আসুন,CAG,NGEN,Let's go there again and see where that has come from
31,C44.237.2,"@FunMasti Tv are bokachoda cam ar jonno nittisto akta Manus thakbe taibole
bonke noy janoyarbacha Tora to maa bon ke chudis Tora ai pobitro somporko ki
bujbi",OAG,GEN,@ Chang for the evil her up phummasti TV will taibale nittista a man is not his sister's mother and sister cudisa janoyarabaca guys wont understand what happened in this sacred relationship
32,C45.573,"Upni bodhoy jan nijer jonno kotha sune tai to mone hochhe. Upner moto muske ei
video korar jonno to juto peta kora uchid. Karon upni abar oder choto kore
nije imcum korte chaichen",OAG,NGEN,Upni bodhoy jan nijer jonno kotha sune tai to mone hochhe. Upner moto muske ei video korar jonno to juto peta kora uchid. Karon upni abar oder choto kore nije imcum korte chaichen
33,C68.1112,ami prothom theke Procchondo kortam na ranu ke,CAG,NGEN,"I would not have been strong from the beginning, who Ranu"
34,C59.2058,"ভাহ ভাতিজা ভাহ চমতকার, তোমার কথা",NAG,NGEN,"Brother, nephew, wow that's nice, your words"
35,C68.1090,বাস দাও,NAG,NGEN,Take the bus
36,C68.675,Kak ke moyur banano jabena,CAG,NGEN,You can not make a peacock crow
37,C45.721,Kosto laglo...😢😢😢,NAG,NGEN,It was hard ...
38,C45.553,"কি দরকার ছিল এই ভিডিও বানানোর, পেটের দায়ে শরীর বেচছে, ভদ্রলোকের বাড়িতে কতো
মেয়ে এই কাজ করছে, এরা তো নেহাতই পেটের দায়ে করছে",NAG,GEN,"There was no need to make this video, abdominal becache for the body, how the daughter of a gentleman working at home, they are charged situation in the stomach"
39,C46.205,ওর সঙ্গে যা হয়েছে তার জন্য ওদের জেন ফাঁসি চাই,NAG,NGEN,Jane would like to hang with him for what happened to them
40,C59.364,"Nice dada
Kub valo dada",NAG,NGEN,Nice dada dada Burn Valo
41,C68.883,Nice ha bhai,NAG,NGEN,Nice ha brother
42,C46.75,Eder fasi chai,NAG,NGEN,They would be hanged
43,C59.1377,relpeter kutta ranu ha ha ha,NAG,NGEN,Relpeter dog Rnu ha ha ha
44,C59.1833,Faltu ranu di,CAG,NGEN,Faltu for drawers
45,C61.1090,Kala magi,OAG,GEN,Kala magi
46,C68.1043,কয়লা ঘুলে কখনো ময়লা যায় না ভাইয়া 🤣🤣🤣🤣🤣🤣🤣,CAG,NGEN,I think coal is dirty and never washed
47,C44.164.5,@Surajit Chakraborty আপনি কি বুঝিয়েছেন ?,NAG,NGEN,@Surajit Chakraborty What do you mean?
48,C46.163,"Ame o kamdunir ka6ei theke r oi ek e collage mane derozio te pore sotti
ghotona ta khub e dengurus aj o vulte pari na",NAG,NGEN,That's one of the kam kamadunira I and 6 on the kalage derozio the true story of what it means today and can not forget that dengura
49,C59.2325,"Biroktikor hoe gachhe ei Ranu Mandal r Himesh Reshamya ao jeno pagol hoe
gachhe Ranu Mandal k famous koranor jonno.😂😂😂😂😂😂😂😂😂😂😂😂",CAG,NGEN,This is annoying Ranu Ranu collar and Himesh Reshammiya has gone mad and go as a mandala to get phamasa.
50,C59.671,Ak dom right 👏👏👏,NAG,NGEN,If the house right
51,C59.1549,OWao Kotha gulo darun bole6,NAG,NGEN,6 to wow the great Blair
52,C59.529,Sera...😁😁😁😁😁,NAG,NGEN,Will be...
53,C68.446,"Ar Ranu mondol akta mentle....
Take Nia troll kore lab nai .",CAG,NGEN,The Zone is a mentale Ranu normally created to troll with him .... not the point.
54,C68.528,বাস নিয়ে ভোরে দিতে হবে শালী কে,OAG,GEN,"Sister-in-law, who would take the bus in the morning"
55,C68.641,A K BARE SATTI.,NAG,NGEN,A K ONLY Satti.
56,C55.132,Khankir may amn may k puria Mara dorkar,OAG,GEN,May May slut who needs a burned
57,C46.131,Odar ka bichi kata dia dorkar sala harami dar,OAG,GEN,Who bloody shed their seeds need to fork up
58,C59.645,"Amar bomi pai Amar na Amar Dadar c6eler boyos 5 boc6or tai or gan sunle ki gan
c6i",CAG,NGEN,"Do I get sick to my fans, my grandfather elera age of 6, 5, 6 k bak So what music fans have heard his songs 6th"
59,C59.297,Ranu tho eakta bal chira singar.,OAG,NGEN,Ranu tho Singer scratched a child.
60,C45.123,বারাইপুর টেশনের ল্যাবে কত দূর যেতে হবে বলুন প্লিজ,NAG,NGEN,Can you please tell me how far to go Baruipur station
61,C59.363,Amader ranaghate ranu di,NAG,NGEN,The Ranu our ranaghate
62,C45.700,"তোমার চামরা গোটানোর দরকার।
শালা ভিডিও করো।
তোর মার মতোই রে ওই মহিলা।",OAG,GEN,"Your skin needs to exit. Shala as video. Like your mother, the woman rays."
63,C46.64,Puriye mara darkar,OAG,NGEN,Burned to death
64,C44.260.4,"@Sruti Paul ১৬১০৮ জনের হোগা মারছে কৃশ্ন, ১৬১০৮ জনের নাম কি তার মনে আছে?",CAG,NGEN,"Krsna beating Hogan @Sruti Paul 16108 people, 16108 people remember his name?"
65,C59.990,Just kono ktha hbe na awsome fantabulas dia6o.,NAG,NGEN,Just kono kotha hobe na awesome fantabulous dia6o.
66,C68.399,Dada video te titel ta thik kore lekhar chasta koro,NAG,NGEN,Just try to write it as the title of grandfather video
67,C68.4,ভিখারী ও ছোট মনের মেয়ে,OAG,NGEN,And the younger daughter of beggar
68,C46.207,"শিখার বাবা আমার বাবার মত সৎ,এই বাবারাই কষট পায় বেশি",NAG,NGEN,"Flame honest like my dad, the father suffer more"
69,C46.72,"Bharot rapist der desh hawe gache.. Je deshe Ma meyeder kono samman nei sei
desher konodin kichu habe na. Obhisap jabe kothay. Fucking rape capital.
Amader desh pratidin dharshito hacche. Er kono sesh nei.. Fucking law and
order..",OAG,GEN,Bharot rapist der desh hawe gache .. Je deshe Ma meyeder kono samman nei sei desher konodin kichu habe na. Obhisap jabe kothay. Fucking rape capital. Amader desh pratidin dharshito hacche. Er kono sesh nei .. Fucking law and order ..
70,C44.180,এটা অবাক হরার কিছু নেই,NAG,NGEN,It is no surprise
71,C59.54.1,ggg,NAG,NGEN,ggg
72,C62.116,"কিন্তু সাকিব খান সবসময় যে মিডিয়া কে বলে আসছিল বাপ্পির সাথে তাকে নুড অবস্থায়
অপু বিশ্বাস কে ধরেছে সাকিব খান।তাহলে কি সাকিবের কথাই সত্য প্রমানিত হল।",NAG,NGEN,But Shakib Khan Bappi was always to tell the media that he did khanatahale nuda Shakib Shakib hold the Apu Biswas proved true.
73,C45.355.2,🤔🤔hm,NAG,NGEN,hm
74,C44.154,"ভাই বোনের ভালোবাসা স্নেহের হ ওয়া উচিত, ভাই বোন বা দাদা বোন একে অন‍্যকে জড়িয়ে
ধরতেই পারে কিন্তু সেটা স্নেহ ভরে জড়িয়ে ধরা উচিত, ভাই বোনের মধ‍্যে বা দাদা
বোনের মধ্যে শারীরিক সম্পর্ক কি করে থাকতে পারে?কি করে তারা বিয়ে করে স্বামী
স্ত্রী হতে পারে?ছি:ছি: স্বামী স্ত্রীর নোংরা ভালোবাসা, নোংরা শারীরিক সম্পর্ক
ভাই বোনের বা দাদা বোনের পবিত্র সম্পর্কের মধ্যে কি করে আসতে পারে?ছি:ছি: এসব
দেখানো বন্ধ করুন,এসব দেখাও পাপ,ছি: এসব দেখতে লজ্জা হয় ঘৃণা হয়।এসব দেখিয়ে দয়া
করে সমাজকে নষ্ট করবেন না।এসব দেখে অনেক দাদা বোনের ভাই বোনের স্নেহের সম্পর্ক
নষ্ট হয়ে স্নেহ পরিনত হবে নোংরা ভালোবাসায়",NAG,GEN,"Brothers and sisters love affection should be, brother, sister, or brother and sister each other's arms primarily, but the affection with hugs should, brother, sister or a brother, sister physical relationship might have been, what they got married husband and wife might be? Bo: Bo: the love of husband and wife, dirty, filthy physical relationships between brothers and sisters or a brother, sister, how can the relationship? Bo: Bo: the show captured Xit, the sin of the show, Bo: It is a shame that hate will destroy society naesaba hayaesaba Please see the show a lot of affection for the brother, sister, brother sister relationship will become dirty little love"
75,C45.378,Jaigata kothai ektu bolbe pls...,NAG,NGEN,Plisa say where exactly a ...
76,C68.163.1,Amar profile check Koro akta song post acche palak Muchhal mam ar Sathe 😊😊,NAG,NGEN,Is an organization that is going to check my profile post with feather wiped mam
77,C59.869,Shera bhai shera😅,NAG,NGEN,Shera brother Shera
78,C59.914,Sera boss,NAG,NGEN,Evening boss
79,C62.196,"Chele to muslim babar kase thake na..tmi to hindu..to kar adorse chele k boro
korbe..kokhono ki vebe dekheco apu??????",CAG,NGEN,He is the son of a Muslim father natami work is the model of a large karabekakhano hinduto considered dekheko sister ??????
80,C68.604,ওরে গারে লাথি মেরে রানাঘাটে বসাও আর পারছি না এই কথাগুলো শুনতে,OAG,NGEN,"Gare kicked him, and I do not hear a word set ranaghate"
81,C68.1005,Ranu mandal ekjon faltu mahila onake station tai thik,OAG,NGEN,Ranu collar him in a phaltu station just
82,C44.318.1,Amaro,NAG,NGEN,Amaro
83,C47.25,"পুলিশ তো সব ক্ষেত্রে সাহায্য করতে আসে না .... আর মহিলা থানা গুলো আরও অপদার্থ
....",NAG,GEN,The police did not come to the help of all the police stations in the more stupid .... and ....
84,C44.167,Osovvyo meye ekta chii faltu meye jemon faltu chelye,OAG,GEN,Cii as a stupid girl stupid girl asabhbhaya celye
85,C45.657,**আপনি লাস্ট এর বাড়িতে ঢুকলেন কেনো চোদার জন্য** 🤭🤭🤭,CAG,NGEN,Why you went into the house to last for chowder ** **
86,C45.777,এত বয়স,NAG,NGEN,Too old
87,C67.37,"একটা রিকোয়েস্ট করি এই সব ছাড়ি আল্লাহ্ পথে ফিরে আস দেখবে জীবনে শুধুই শান্তি
আসবে।",NAG,NGEN,"A request will come back to God, I lose all this just peace will come to life."
88,C45.412,Last ar barite chudte dhukli kno be lewra,OAG,NGEN,Last cudate dhukali criteria and house Bay leora
89,C59.1271,[3:34](https://www.youtube.com/watch?v=8us63u9lV1s&t=3m34s) 😂😂,NAG,NGEN,[3:34](https://www.youtube.com/watch?v=8us63u9lV1s&t=3m34s)
90,C65.170,দুইটাই সয়তান,OAG,NGEN,Two devil
91,C61.918,Koto boro madarchod,OAG,GEN,How big motherfuckers
92,C45.653,Bokachoda Tor marene valo bolte hoy oder Amar Bari BARUIPUR,CAG,NGEN,They say that good is evil in my house I marena Baruipur
93,C68.898,Paglitr gn r sunbona ami,CAG,NGEN,I'm fucking brilliant pagalitara's Gone
94,C59.377,ঔ কি দিলে,NAG,NGEN,What if h
95,C44.200.1,এটাও সমস্যা না,NAG,NGEN,It is not a problem
96,C46.143,Ki j kosto peyeche meyta vogoban,NAG,NGEN,The girl suffered what God
97,C44.334.2,সবাই এত রিয়েক্ট করছেন কেন। এরা তো আপন ভাই বোন নয়,NAG,GEN,Why is everyone so Reactor. It is not his brothers and sisters
98,C45.592.3,@Somendra nath Chatterjee ❤️❤️,NAG,NGEN,@Somendra nath Chatterjee ️️
99,C46.263,এই গলো ভালো না,NAG,NGEN,This is not good galo
100,C68.1025,"ভাই, তুমি যে heading লিখেছ, কয়েল মল্লিক জুতা ছুড়ে মারলো, তার ভিডিও টা কোথায়?
গাধা কোথাকার!",CAG,NGEN,"Brother, you wrote that heading, Marlowe threw shoes coil Mallick, Where is the video? You idiot!"
101,C45.559,"বিস্তারিত তথ্য চাই
সুমন পাত্র ৭৬০২৬৯১৭৩১",NAG,NGEN,Details like the pot Suman 7602691731
102,C59.1308,Nice cool,NAG,NGEN,Nice cool
103,C68.567,এর মুখে লাথি মারা উচিত... পাগলী কোথাকার,CAG,NGEN,... Yeah where his mouth should kick
104,C59.566,Tik bolecho....👍,NAG,NGEN,You're right ....
105,C44.345.2,আমি জানি যে দাক্তরি মতে ধুমপান স্বাস্তের পক্ষে ক্ষতি কর তবু আমরা পানকরি,NAG,NGEN,"According to a doctor, but I know that smoking is harmful to health, we panakari"
106,C59.535,Ossam lagce,NAG,NGEN,Ossam lagce
107,C46.102,"বিচার মোটামুটি ভাল হয়েছে বাংলাদেশে তো কিছুদিন পর মুক্তি পায়। আর বলে আত্মহত্যা
করেছিল।",NAG,NGEN,He was released after a few days of the trial has been fairly well. And he committed suicide.
108,C46.175,Fasi dau fasi,NAG,NGEN,Piece dau piece
109,C61.1151.1,কেন? রানু মন্ডল আপনার বাল ছিরছে।,CAG,GEN,Why? Ranu Zone chirache your child.
110,C68.774,রানু মন্ডলের গালে গালে জুতা মারো তালে তালে।,CAG,NGEN,Ranu mandala shoes cheek cheek shoot the melody.
111,C61.866,Ranu mondan Randi Sali,OAG,GEN,Ranu mondan Randi Upgrade
112,C59.1799,"akdom,, puro thik",NAG,NGEN,"That is the whole ,,"
113,C45.730.2,tor ma ke dekha,OAG,GEN,Tor saw Mom
114,C44.317.1,Mane,NAG,NGEN,From
115,C46.189.3,"@Sahina Begam আপনাদের মুসলমানরা 4-5 টা বিয়ে করে আর 20-25 টা বাচ্চা নেয়।
বাচ্চা গুলকে ঠিক করে মানুষ করতে পারেনা তাই তারা খিদের জ্বালায়,পেটের দায়ে চুরি
চামারি করে,খুন,ধর্ষন করে অর্থাৎ সমাজ বিরোধী তৈরী হয়।
আমাদের দেশে যত ক্রাইম হয় তার 80% মুসুলমান রা করে।
আমরা হিন্দু যুবকরা মুসলমানদের মত নয় আর আমরা হিন্দু মেয়ে ছাড়া আপনাদের দিকে
তাকাই না।
আমরা যদি অমন হতাম না তাহলে আপনাদের মত মুসলিম মেয়েরা রেপ হয়ে গাছের ডালে ঝুলে
থাকত।",CAG,NGEN,"I am married to Muslims @Sahina Begam 4-5 and 20-25 were children. Gul children just so they can make people with hunger, abdominal Chamari for the theft, murder, rape made by the anti-social. 80% of our country is the crime that musulamana said. We do not like Muslims and Hindu youth, we do not look at you without a Hindu girl. If you do not, we would like to rape Muslim girls like you were hanging in the tree."
116,C68.1242,Ranu Dede beti sathirai bohot bhul buje . Soitho jibone nai . Make dekina .,CAG,NGEN,Ranu Dead beti sathirai misunderstood a lot. Soyatha lives there. Dekina make.
117,C44.340,এই সব দেখানো উচিত নয়,NAG,NGEN,These should show
118,C45.545,খুবই দুঃখজনক একই সাথে লজ্জাজনক ও বলতে পারেন,NAG,NGEN,At the same time shocking and shameful to say
119,C61.1319,মাদারীর বাইচ্ছা অপেক্ষা কর আগের জায়গায় আসার,OAG,GEN,Wait to place the child Madari
120,C68.1124,beiman ranu di k tar ager jaiga ta dekiye dite hobe,OAG,NGEN,The show Ranu a traitor to his former place
121,C59.435,দাদা কী দিয়েছো😀😀😀😀😀 super dada,NAG,NGEN,What gave super dada dada
122,C45.713,Vai peter daye kory..,NAG,NGEN,Let brother for a stomach ..
123,C59.1879.4,ranm,NAG,NGEN,Ram
124,C68.1086,"Are vai tomar video ta valo .kintu tumi thumbnail e vul post die views kamacho
vai tumi ranu dir cheye boro beiman sot vabe kaj koro. Ranu Di to vikka korto
tumi to jochuri korcho",CAG,NGEN,Are vai tomar video ta valo .kintu tumi thumbnail e vul post die views kamacho vai tumi ranu dir cheye boro beiman sot vabe kaj koro. Ranu Di to vikka korto tumi to jochuri korcho
125,C46.86,"egulor shasti holo ongo kete lonka bata diye mara chii ghenna lage eder manush
bolte chii eder faasi hole onek kom shasti janoyaro jaat hoi kintu eder kono
jaat hoi naa Chii",OAG,NGEN,egulor shasti holo ongo kete lonka bata diye mara chii ghenna lage eder manush bolte chii eder faasi hole onek kom shasti janoyaro jaat hoi kintu eder kono jaat hoi naa Chii
126,C68.1156,রানু ধর্ম সমপর্কে জানে না।,CAG,NGEN,Ranu do not know about religion.
127,C44.186,Ata ki Bhi naki 👺,NAG,NGEN,So also not the
128,C65.350,Akta pagol,CAG,NGEN,A crazy
129,C46.78,Ei sob janowar der janto puriye mara uchit,OAG,NGEN,All of these animals should be burnt alive
130,C65.146,দেশি মাল পরিমনি,NAG,GEN,Local Freight parimani
131,C44.174.1,Baba ki khisti dicche,NAG,NGEN,What are the parents laugh
132,C45.169,যে দেশে সমকামী বৈধ্য সে দেশে যৌন পল্লী আবার কি?,CAG,GEN,What homosexual brothel in the country that is valid in the country?
133,C45.538,Era onek dukho koste ei pothe eseche,NAG,NGEN,This is the way a lot of affliction
134,C59.1713,"Dada bhul nollen ranu mondal ar ja obosta o Jodi aro opore other thle Salman r
hemesh k buogoban ar chakor na njr chakor boledebe... Ja faltu mye sobpare..",CAG,NGEN,Ranu Zone in the wrong position and nalalena grandfather growing up even more if you do not watch Salman's hemesa a buogabana the servant of the servants ... what a stupid girl sabapare baledibe ..
135,C68.901.1,ভীখারী ভীখারী থাকবে সোনার চামচের মুল্য কিবুঝে,CAG,NGEN,Lazarus the beggar to understand what will be the price of gold spoons
136,C46.192,"Dakhar por see din ghumote parini Ami.meyeta ki kosto Tai na peyeche real
meyetar ghoto na gulo sunlm suire uthechi",NAG,NGEN,"After that day, I could not sleep, had a real girl ghota amimeyeta do not know what trouble I have heard the wake suire"
137,C46.12,Demna gulor fasi Kobe hobe,NAG,NGEN,When will the hang of it
138,C62.38,মাগি কোথাকার জুতা পেটা করলে ও মন ভরে না,OAG,GEN,"When beaten with shoes Oh, and do not mind cunt"
139,C46.98,Kutar bcara toder mudu kete deo ocid,OAG,NGEN,Kutar way coder must kete deo ocid
140,C59.1127,Aktu holeo ranu Mondal ar mathar prblm a6e..,NAG,NGEN,"Ranu Zone and head a little, but Tim Oct. 6th .."
141,C59.247,😱😱😱😱😱😱🤣🤣🤣🤯🤯,NAG,NGEN,
142,C68.953,"Atindra Da khub valo moner manush seta tar kotha te chalcholone boja Jai...r
ha etao boja Jai apni koto choto moner lok..onner valo dekte paren na..",CAG,NGEN,"The people were very good to her mind atindra ways to go to understand ... Yeah, it's going to understand how you can not see the small mind like lokaanyera .."
143,C46.241,Sala janoyar ar bacha gulo nejar ma o sujok pala chraba na,OAG,NGEN,And the animals live year got his mother and did not turn suyoka
144,C68.329,শকুন যত উপরে উঠুক তার নজর থাকে নিচের দিকে । রানু শকুন তার উদাহরণ।,CAG,NGEN,Let's focus on the bottom side of the vultures. Ranu example vultures.
145,C61.1692,Magi khanki akta,OAG,GEN,A cunt slut
146,C59.818,কাচা কঞ্চির ব্যাপার টা সেই লাগলো,NAG,NGEN,The nice thing about green wicker
147,C59.1930,বাঃ রানু দি বাঃ....👌👌👌,NAG,NGEN,Ranu The Bah Bah ....
148,C68.925.2,Kotha ta kintu right bolacho,NAG,NGEN,But you say it's about right
149,C59.1913.2,ek balti ukun ki ki apnar mathay paltachen??😂😂😹😹,CAG,NGEN,What are head lice on your head in a bucket of changing ??
150,C59.2308,"বাঃ দাদা বাঃ।
দারুন ‌",NAG,NGEN,Bah Bah grandfather. Great
151,C44.262,দুজনের সম্মতি থাকলে আমার আপনার জ্বলে কেন,NAG,NGEN,Why did you burn me if both consent
152,C44.98.2,Science ou mane na ve. Muslim ve,CAG,NGEN,o na mane and Science. Muslim and
153,C59.626,Nice dada tumey parba,NAG,NGEN,Nice that you are dada
154,C59.788,এই বালডার সাথে আর বাল ছাল গান করছে তোমরা পারো ও দাদা,CAG,NGEN,These are songs that you can peel Baldr and grandfather with the Baal
155,C46.164,"ওদের মৃত্যু দন্ড দেওয়া ভুল হয়েছে,, খানকির বাচ্ছা দের, সারা জীবন কস্ট দেওয়া
উচিৎ ছিল ????",NAG,GEN,"The death penalty has been given the wrong baby ,, slut of them, should be cost throughout the life ????"
156,C59.1077,Ranu Mondal amr are valolaga na bad very bad,NAG,NGEN,Very bad bad I did not love Ranu Zone
157,C59.827,"Tomar first Vedio dekha...onek Valo laglo👌👌👌👌👌...sob kothaa Valo legeche
👌👌👌👌👌👌👌👌.... awesome.....",NAG,NGEN,First you see the video ... ... things like this means a lot .... ..... abesame
158,C61.366,tui to rendi khaner maagi,OAG,GEN,You can not describe it's rendi
159,C59.1008,Ekdom Thik ...,NAG,NGEN,Exactly ...
160,C46.232,ইসলামে মদ পান হারাম,NAG,NGEN,Alcohol is forbidden in Islam
161,C45.661,"কি অার করা যাবে ওরা ওদের পেটের দায়ে বেশ্যাবৃত্তি করছে অার এই দাদা ওনার ভিউজ
এর জন্য এটা করছে অার আমি আমার চ্যানেলে ভিউজ বাড়ানোর জন্য এই কমেন্ট টা করছি।
সবাই সবার পেটের দায়ে করে 🙂",NAG,NGEN,"What can no longer stomach They are charged with prostitution, the older brother of his views are no longer doing it for longer I am at the first to comment on this channel in order to increase views. Everyone has the stomach for"
162,C45.219,Tumio ki chude esecho eder,NAG,NGEN,Is that what you wanted them to come
163,C46.227,"Mod kono rape er karon na mod kheye jodi keo rape kore tar saza dabul houya
uchit ai kanun aate hobe",NAG,NGEN,Not because of any mode of rape to rape someone if alcohol regulations will have his sentence should be dabula
164,C59.1276,Baler video,NAG,NGEN,Baler video
165,C59.513,😁😁😁😁😁😁😂🤣,NAG,NGEN,
166,C59.770,একদম ঠিক বলছেন দাদা,NAG,NGEN,"Exactly, says brother"
167,C61.130,একটা মাগি রানু মন্ডল 😆😆🤮🤮🤧🤧,OAG,GEN,Ranu is a cunt Zone
168,C65.9,"কেউ যদি আমাকে বলে ,, আপনি কি এই বলদের মুভি দেখবেন নাকি টয়লেটে বসে থাকবেন,, তা
হলে আমি বলবো টয়লেটে বসে থাকবো,,",CAG,NGEN,"What this tells me ,, if you're sitting on the toilet ,, ox, or see the movie, then I'll be sitting on the toilet ,,"
169,C68.1322,Dik bolecho,NAG,NGEN,Said direction
170,C47.50,একটা সুখের সংসার কিভাবে মাটিতে মিশিয়ে দিতে হয় তা একমাত্র এই সব মহিলারা পারে।,CAG,GEN,How to have a happy family is the sole ground that all of these women.
171,C59.1608,খাঁটি কথা বলেচ্ছো ভাই শুনে ভালো লাগলো এইরকম বাস্তব কথা বলতে কোনদিন ভয় পাবে না।,NAG,NGEN,Absolutely baleccho brother's good to hear that it never be afraid to speak.
172,C68.107,আমার কাছে রানু মন্ডল সবচেয়ে ভিকারী,CAG,NGEN,Ranu Zone I of the bhikari
173,C68.1188.1,"Emon talent onek ache duniyai dada....payer juta ke mathai tulte nai...ranu
mondol tar kothai bujhiye diyeche je o ekta bongshogoto chhotolok",CAG,NGEN,There are such a lot of talent to draw on in this world who do not have shoes older brother .... ... Ranu Zone has explained that he and a family where chotoloka
174,C45.299.2,বোন নিজের সম্মান রেখে চলুন।,NAG,GEN,Keep in honor of his sister.
175,C45.91,কোথায় এটা,NAG,NGEN,Where is it
176,C59.1401,Sala khanki magi Ranu,OAG,GEN,Once khanki magi ranu
177,C68.1055.1,tar dimake ki ase,NAG,NGEN,What comes to his dimake
178,C68.121,You are great bro,NAG,NGEN,You are great bro
179,C68.440,Ake Bos Akamon lok Aje naeyka je,CAG,NGEN,Single guy sitting today that it naika
180,C59.2071,"Ack dom dada
Ranu🖕",NAG,NGEN,Ack home dada Ranu
181,C68.627,"Pagole ki na bole ....chagole ki na khay ....or hate jhola ta manay....maik
noy",CAG,NGEN,What say do not eat goat Ronin .... .... .... I think what Mike is hung from the
182,C59.541,পাগলাচোদা রানু,OAG,GEN,Ranu pagalacoda
183,C45.206,Oder somman ta bojho ektu plz,NAG,NGEN,"They understand it's a little bit of respect, please"
184,C45.431,dada kothy eta,NAG,NGEN,ETA dada kothaya
185,C59.1976,O Accha vikkha korto kintu vikhari na wao Ki sundor,CAG,NGEN,"Well, not Bao and begged, but what a beautiful beggar"
186,C62.13,"Sob kicho sakiber Jonno..hoyece ..sakib apuke mene nile ..ajke atu kicho
hotona",CAG,NGEN,Mary believed in everything janyahayese sakiba Tigerstar ajake it would have been something
187,C45.299.5,"অবশ্যই চ্যানেলটি সাবস্ক্রাইব করবেন।নতুন ভিডিও দেখতে ক্লিক করুন ভিডিও লিংক-
<https://youtu.be/l2FLdfy2ePg>",NAG,NGEN,Click to see the video of the video channel to subscribe karabenanatuna linka <https://youtu.be/l2FLdfy2ePg>
188,C68.447,"Ai Kotha vhul je..vhikari vhikari oi Thake...ar raja raja oi Thake..
Onek poristhiti ase jeta life change kore dei..",NAG,NGEN,"The most widely spoken is cikarai yecikarai ... .. a lot is the king, and the king came in to change the life .."
189,C65.8,কি এসব,CAG,NGEN,These
