ID,Text,Sub-task A,Sub-task B
C46.205,ওর সঙ্গে যা হয়েছে তার জন্য ওদের জেন ফাঁসি চাই,NAG,NGEN
C59.364,"Nice dada
Kub valo dada",NAG,NGEN
C68.883,Nice ha bhai,NAG,NGEN
C46.75,Eder fasi chai,NAG,NGEN
C59.1377,relpeter kutta ranu ha ha ha,NAG,NGEN
C59.1833,Faltu ranu di,CAG,NGEN
C61.1090,Kala magi,OAG,GEN
C68.1043,কয়লা ঘুলে কখনো ময়লা যায় না ভাইয়া 🤣🤣🤣🤣🤣🤣🤣,CAG,NGEN
C44.164.5,@Surajit Chakraborty আপনি কি বুঝিয়েছেন ?,NAG,NGEN
C46.163,"Ame o kamdunir ka6ei theke r oi ek e collage mane derozio te pore sotti
ghotona ta khub e dengurus aj o vulte pari na",NAG,NGEN
C59.2325,"Biroktikor hoe gachhe ei Ranu Mandal r Himesh Reshamya ao jeno pagol hoe
gachhe Ranu Mandal k famous koranor jonno.😂😂😂😂😂😂😂😂😂😂😂😂",CAG,NGEN
C59.671,Ak dom right 👏👏👏,NAG,NGEN
C59.1549,OWao Kotha gulo darun bole6,NAG,NGEN
C59.529,Sera...😁😁😁😁😁,NAG,NGEN
C68.446,"Ar Ranu mondol akta mentle....
Take Nia troll kore lab nai .",CAG,NGEN
C68.528,বাস নিয়ে ভোরে দিতে হবে শালী কে,OAG,GEN
C68.641,A K BARE SATTI.,NAG,NGEN
C55.132,Khankir may amn may k puria Mara dorkar,OAG,GEN
C46.131,Odar ka bichi kata dia dorkar sala harami dar,OAG,GEN
C59.645,"Amar bomi pai Amar na Amar Dadar c6eler boyos 5 boc6or tai or gan sunle ki gan
c6i",CAG,NGEN
C59.297,Ranu tho eakta bal chira singar.,OAG,NGEN
C45.123,বারাইপুর টেশনের ল্যাবে কত দূর যেতে হবে বলুন প্লিজ,NAG,NGEN
C59.363,Amader ranaghate ranu di,NAG,NGEN
C45.700,"তোমার চামরা গোটানোর দরকার।
শালা ভিডিও করো।
তোর মার মতোই রে ওই মহিলা।",OAG,GEN
C46.64,Puriye mara darkar,OAG,NGEN
C44.260.4,"@Sruti Paul ১৬১০৮ জনের হোগা মারছে কৃশ্ন, ১৬১০৮ জনের নাম কি তার মনে আছে?",CAG,NGEN
C59.990,Just kono ktha hbe na awsome fantabulas dia6o.,NAG,NGEN
C68.399,Dada video te titel ta thik kore lekhar chasta koro,NAG,NGEN
C68.4,ভিখারী ও ছোট মনের মেয়ে,OAG,NGEN
C46.207,"শিখার বাবা আমার বাবার মত সৎ,এই বাবারাই কষট পায় বেশি",NAG,NGEN
C46.72,"Bharot rapist der desh hawe gache.. Je deshe Ma meyeder kono samman nei sei
desher konodin kichu habe na. Obhisap jabe kothay. Fucking rape capital.
Amader desh pratidin dharshito hacche. Er kono sesh nei.. Fucking law and
order..",OAG,GEN
C44.180,এটা অবাক হরার কিছু নেই,NAG,NGEN
C59.54.1,ggg,NAG,NGEN
C62.116,"কিন্তু সাকিব খান সবসময় যে মিডিয়া কে বলে আসছিল বাপ্পির সাথে তাকে নুড অবস্থায়
অপু বিশ্বাস কে ধরেছে সাকিব খান।তাহলে কি সাকিবের কথাই সত্য প্রমানিত হল।",NAG,NGEN
C45.355.2,🤔🤔hm,NAG,NGEN
C44.154,"ভাই বোনের ভালোবাসা স্নেহের হ ওয়া উচিত, ভাই বোন বা দাদা বোন একে অন‍্যকে জড়িয়ে
ধরতেই পারে কিন্তু সেটা স্নেহ ভরে জড়িয়ে ধরা উচিত, ভাই বোনের মধ‍্যে বা দাদা
বোনের মধ্যে শারীরিক সম্পর্ক কি করে থাকতে পারে?কি করে তারা বিয়ে করে স্বামী
স্ত্রী হতে পারে?ছি:ছি: স্বামী স্ত্রীর নোংরা ভালোবাসা, নোংরা শারীরিক সম্পর্ক
ভাই বোনের বা দাদা বোনের পবিত্র সম্পর্কের মধ্যে কি করে আসতে পারে?ছি:ছি: এসব
দেখানো বন্ধ করুন,এসব দেখাও পাপ,ছি: এসব দেখতে লজ্জা হয় ঘৃণা হয়।এসব দেখিয়ে দয়া
করে সমাজকে নষ্ট করবেন না।এসব দেখে অনেক দাদা বোনের ভাই বোনের স্নেহের সম্পর্ক
নষ্ট হয়ে স্নেহ পরিনত হবে নোংরা ভালোবাসায়",NAG,GEN
C45.378,Jaigata kothai ektu bolbe pls...,NAG,NGEN
C68.163.1,Amar profile check Koro akta song post acche palak Muchhal mam ar Sathe 😊😊,NAG,NGEN
C59.869,Shera bhai shera😅,NAG,NGEN
C59.914,Sera boss,NAG,NGEN
C62.196,"Chele to muslim babar kase thake na..tmi to hindu..to kar adorse chele k boro
korbe..kokhono ki vebe dekheco apu??????",CAG,NGEN
C68.604,ওরে গারে লাথি মেরে রানাঘাটে বসাও আর পারছি না এই কথাগুলো শুনতে,OAG,NGEN
C68.1005,Ranu mandal ekjon faltu mahila onake station tai thik,OAG,NGEN
C44.318.1,Amaro,NAG,NGEN
C47.25,"পুলিশ তো সব ক্ষেত্রে সাহায্য করতে আসে না .... আর মহিলা থানা গুলো আরও অপদার্থ
....",NAG,GEN
C44.167,Osovvyo meye ekta chii faltu meye jemon faltu chelye,OAG,GEN
C45.657,**আপনি লাস্ট এর বাড়িতে ঢুকলেন কেনো চোদার জন্য** 🤭🤭🤭,CAG,NGEN
C45.777,এত বয়স,NAG,NGEN
C67.37,"একটা রিকোয়েস্ট করি এই সব ছাড়ি আল্লাহ্ পথে ফিরে আস দেখবে জীবনে শুধুই শান্তি
আসবে।",NAG,NGEN
C45.412,Last ar barite chudte dhukli kno be lewra,OAG,NGEN
C59.1271,[3:34](https://www.youtube.com/watch?v=8us63u9lV1s&t=3m34s) 😂😂,NAG,NGEN
C65.170,দুইটাই সয়তান,OAG,NGEN
C61.918,Koto boro madarchod,OAG,GEN
C45.653,Bokachoda Tor marene valo bolte hoy oder Amar Bari BARUIPUR,CAG,NGEN
C68.898,Paglitr gn r sunbona ami,CAG,NGEN
C59.377,ঔ কি দিলে,NAG,NGEN
C44.200.1,এটাও সমস্যা না,NAG,NGEN
C46.143,Ki j kosto peyeche meyta vogoban,NAG,NGEN
C44.334.2,সবাই এত রিয়েক্ট করছেন কেন। এরা তো আপন ভাই বোন নয়,NAG,GEN
C45.592.3,@Somendra nath Chatterjee ❤️❤️,NAG,NGEN
C46.263,এই গলো ভালো না,NAG,NGEN
C68.1025,"ভাই, তুমি যে heading লিখেছ, কয়েল মল্লিক জুতা ছুড়ে মারলো, তার ভিডিও টা কোথায়?
গাধা কোথাকার!",CAG,NGEN
C45.559,"বিস্তারিত তথ্য চাই
সুমন পাত্র ৭৬০২৬৯১৭৩১",NAG,NGEN
C59.1308,Nice cool,NAG,NGEN
C68.567,এর মুখে লাথি মারা উচিত... পাগলী কোথাকার,CAG,NGEN
C59.566,Tik bolecho....👍,NAG,NGEN
C44.345.2,আমি জানি যে দাক্তরি মতে ধুমপান স্বাস্তের পক্ষে ক্ষতি কর তবু আমরা পানকরি,NAG,NGEN
C59.535,Ossam lagce,NAG,NGEN
C46.102,"বিচার মোটামুটি ভাল হয়েছে বাংলাদেশে তো কিছুদিন পর মুক্তি পায়। আর বলে আত্মহত্যা
করেছিল।",NAG,NGEN
C46.175,Fasi dau fasi,NAG,NGEN
C61.1151.1,কেন? রানু মন্ডল আপনার বাল ছিরছে।,CAG,GEN
C68.774,রানু মন্ডলের গালে গালে জুতা মারো তালে তালে।,CAG,NGEN
C61.866,Ranu mondan Randi Sali,OAG,GEN
C59.1799,"akdom,, puro thik",NAG,NGEN
C45.730.2,tor ma ke dekha,OAG,GEN
C44.317.1,Mane,NAG,NGEN
C46.189.3,"@Sahina Begam আপনাদের মুসলমানরা 4-5 টা বিয়ে করে আর 20-25 টা বাচ্চা নেয়।
বাচ্চা গুলকে ঠিক করে মানুষ করতে পারেনা তাই তারা খিদের জ্বালায়,পেটের দায়ে চুরি
চামারি করে,খুন,ধর্ষন করে অর্থাৎ সমাজ বিরোধী তৈরী হয়।
আমাদের দেশে যত ক্রাইম হয় তার 80% মুসুলমান রা করে।
আমরা হিন্দু যুবকরা মুসলমানদের মত নয় আর আমরা হিন্দু মেয়ে ছাড়া আপনাদের দিকে
তাকাই না।
আমরা যদি অমন হতাম না তাহলে আপনাদের মত মুসলিম মেয়েরা রেপ হয়ে গাছের ডালে ঝুলে
থাকত।",CAG,NGEN
C68.1242,Ranu Dede beti sathirai bohot bhul buje . Soitho jibone nai . Make dekina .,CAG,NGEN
C44.340,এই সব দেখানো উচিত নয়,NAG,NGEN
C45.545,খুবই দুঃখজনক একই সাথে লজ্জাজনক ও বলতে পারেন,NAG,NGEN
C61.1319,মাদারীর বাইচ্ছা অপেক্ষা কর আগের জায়গায় আসার,OAG,GEN
C68.1124,beiman ranu di k tar ager jaiga ta dekiye dite hobe,OAG,NGEN
C59.435,দাদা কী দিয়েছো😀😀😀😀😀 super dada,NAG,NGEN
C45.713,Vai peter daye kory..,NAG,NGEN
C59.1879.4,ranm,NAG,NGEN
C68.1086,"Are vai tomar video ta valo .kintu tumi thumbnail e vul post die views kamacho
vai tumi ranu dir cheye boro beiman sot vabe kaj koro. Ranu Di to vikka korto
tumi to jochuri korcho",CAG,NGEN
C46.86,"egulor shasti holo ongo kete lonka bata diye mara chii ghenna lage eder manush
bolte chii eder faasi hole onek kom shasti janoyaro jaat hoi kintu eder kono
jaat hoi naa Chii",OAG,NGEN
C68.1156,রানু ধর্ম সমপর্কে জানে না।,CAG,NGEN
C44.186,Ata ki Bhi naki 👺,NAG,NGEN
C65.350,Akta pagol,CAG,NGEN
C46.78,Ei sob janowar der janto puriye mara uchit,OAG,NGEN
C65.146,দেশি মাল পরিমনি,NAG,GEN
C44.174.1,Baba ki khisti dicche,NAG,NGEN
C45.169,যে দেশে সমকামী বৈধ্য সে দেশে যৌন পল্লী আবার কি?,CAG,GEN
C45.538,Era onek dukho koste ei pothe eseche,NAG,NGEN
C59.1713,"Dada bhul nollen ranu mondal ar ja obosta o Jodi aro opore other thle Salman r
hemesh k buogoban ar chakor na njr chakor boledebe... Ja faltu mye sobpare..",CAG,NGEN
C68.901.1,ভীখারী ভীখারী থাকবে সোনার চামচের মুল্য কিবুঝে,CAG,NGEN
C46.192,"Dakhar por see din ghumote parini Ami.meyeta ki kosto Tai na peyeche real
meyetar ghoto na gulo sunlm suire uthechi",NAG,NGEN
C46.12,Demna gulor fasi Kobe hobe,NAG,NGEN
C62.38,মাগি কোথাকার জুতা পেটা করলে ও মন ভরে না,OAG,GEN
C46.98,Kutar bcara toder mudu kete deo ocid,OAG,NGEN
C59.1127,Aktu holeo ranu Mondal ar mathar prblm a6e..,NAG,NGEN
C59.247,😱😱😱😱😱😱🤣🤣🤣🤯🤯,NAG,NGEN
C68.953,"Atindra Da khub valo moner manush seta tar kotha te chalcholone boja Jai...r
ha etao boja Jai apni koto choto moner lok..onner valo dekte paren na..",CAG,NGEN
C46.241,Sala janoyar ar bacha gulo nejar ma o sujok pala chraba na,OAG,NGEN
C68.329,শকুন যত উপরে উঠুক তার নজর থাকে নিচের দিকে । রানু শকুন তার উদাহরণ।,CAG,NGEN
C61.1692,Magi khanki akta,OAG,GEN
C59.818,কাচা কঞ্চির ব্যাপার টা সেই লাগলো,NAG,NGEN
C59.1930,বাঃ রানু দি বাঃ....👌👌👌,NAG,NGEN
C68.925.2,Kotha ta kintu right bolacho,NAG,NGEN
C59.1913.2,ek balti ukun ki ki apnar mathay paltachen??😂😂😹😹,CAG,NGEN
C59.2308,"বাঃ দাদা বাঃ।
দারুন ‌",NAG,NGEN
C44.262,দুজনের সম্মতি থাকলে আমার আপনার জ্বলে কেন,NAG,NGEN
C44.98.2,Science ou mane na ve. Muslim ve,CAG,NGEN
C59.626,Nice dada tumey parba,NAG,NGEN
C59.788,এই বালডার সাথে আর বাল ছাল গান করছে তোমরা পারো ও দাদা,CAG,NGEN
C46.164,"ওদের মৃত্যু দন্ড দেওয়া ভুল হয়েছে,, খানকির বাচ্ছা দের, সারা জীবন কস্ট দেওয়া
উচিৎ ছিল ????",NAG,GEN
C59.1077,Ranu Mondal amr are valolaga na bad very bad,NAG,NGEN
C59.827,"Tomar first Vedio dekha...onek Valo laglo👌👌👌👌👌...sob kothaa Valo legeche
👌👌👌👌👌👌👌👌.... awesome.....",NAG,NGEN
C61.366,tui to rendi khaner maagi,OAG,GEN
C59.1008,Ekdom Thik ...,NAG,NGEN
C46.232,ইসলামে মদ পান হারাম,NAG,NGEN
C45.661,"কি অার করা যাবে ওরা ওদের পেটের দায়ে বেশ্যাবৃত্তি করছে অার এই দাদা ওনার ভিউজ
এর জন্য এটা করছে অার আমি আমার চ্যানেলে ভিউজ বাড়ানোর জন্য এই কমেন্ট টা করছি।
সবাই সবার পেটের দায়ে করে 🙂",NAG,NGEN
C45.219,Tumio ki chude esecho eder,NAG,NGEN
C46.227,"Mod kono rape er karon na mod kheye jodi keo rape kore tar saza dabul houya
uchit ai kanun aate hobe",NAG,NGEN
C59.1276,Baler video,NAG,NGEN
C59.513,😁😁😁😁😁😁😂🤣,NAG,NGEN
C59.770,একদম ঠিক বলছেন দাদা,NAG,NGEN
C61.130,একটা মাগি রানু মন্ডল 😆😆🤮🤮🤧🤧,OAG,GEN
C65.9,"কেউ যদি আমাকে বলে ,, আপনি কি এই বলদের মুভি দেখবেন নাকি টয়লেটে বসে থাকবেন,, তা
হলে আমি বলবো টয়লেটে বসে থাকবো,,",CAG,NGEN
C68.1322,Dik bolecho,NAG,NGEN
C47.50,একটা সুখের সংসার কিভাবে মাটিতে মিশিয়ে দিতে হয় তা একমাত্র এই সব মহিলারা পারে।,CAG,GEN
C59.1608,খাঁটি কথা বলেচ্ছো ভাই শুনে ভালো লাগলো এইরকম বাস্তব কথা বলতে কোনদিন ভয় পাবে না।,NAG,NGEN
C68.107,আমার কাছে রানু মন্ডল সবচেয়ে ভিকারী,CAG,NGEN
C68.1188.1,"Emon talent onek ache duniyai dada....payer juta ke mathai tulte nai...ranu
mondol tar kothai bujhiye diyeche je o ekta bongshogoto chhotolok",CAG,NGEN
C45.299.2,বোন নিজের সম্মান রেখে চলুন।,NAG,GEN
C45.91,কোথায় এটা,NAG,NGEN
C59.1401,Sala khanki magi Ranu,OAG,GEN
C68.1055.1,tar dimake ki ase,NAG,NGEN
C68.121,You are great bro,NAG,NGEN
C68.440,Ake Bos Akamon lok Aje naeyka je,CAG,NGEN
C59.2071,"Ack dom dada
Ranu🖕",NAG,NGEN
C68.627,"Pagole ki na bole ....chagole ki na khay ....or hate jhola ta manay....maik
noy",CAG,NGEN
C59.541,পাগলাচোদা রানু,OAG,GEN
C45.206,Oder somman ta bojho ektu plz,NAG,NGEN
C45.431,dada kothy eta,NAG,NGEN
C59.1976,O Accha vikkha korto kintu vikhari na wao Ki sundor,CAG,NGEN
C62.13,"Sob kicho sakiber Jonno..hoyece ..sakib apuke mene nile ..ajke atu kicho
hotona",CAG,NGEN
C45.299.5,"অবশ্যই চ্যানেলটি সাবস্ক্রাইব করবেন।নতুন ভিডিও দেখতে ক্লিক করুন ভিডিও লিংক-
<https://youtu.be/l2FLdfy2ePg>",NAG,NGEN
C68.447,"Ai Kotha vhul je..vhikari vhikari oi Thake...ar raja raja oi Thake..
Onek poristhiti ase jeta life change kore dei..",NAG,NGEN
C65.8,কি এসব,CAG,NGEN
C68.934,Super Da,NAG,NGEN
C59.1413,Gud marbo,OAG,GEN
C59.1712,"Super.. tnx u kau amar mon er kotha bollo.. o k kay noble chore marr..na na
ami full support kor6i🤣🤣🤣🤣🤣🤣...",CAG,NGEN
C44.289,Didi Mayer Moto hoy...eder Mone esob ase ki Kore? Chi chi.....,NAG,GEN
C68.208,Kanki Magi k Mar bara,OAG,GEN
C59.2241,Darun laglo,NAG,NGEN
C68.89,ranu mandal ekdom beiman hoi,OAG,NGEN
C45.569,"চাইনা আমি সেই ভালোবাসা যে ভালবাসা """"""""""""""""""""""""""""""",NAG,NGEN
C68.398.1,Ranu pagla choda,OAG,GEN
C59.425,কাঁচা কনচি দিয়ে বাড়ি দিতাম,CAG,NGEN
C68.959.1,Tika,NAG,NGEN
C45.389,পোরো ঠিকানা টা ঠিক কোথায় ??,NAG,NGEN
C68.1202,ওর নাম নিতে ঘৃণা করছে।বেইমান রানু মন্ডল 👞👞👞👞👞,OAG,NGEN
C68.1352,আর কোন কাজ নাই তোদের,CAG,NGEN
C59.1743,ভাল ছিল,NAG,NGEN
C68.106,Dada ranu pagolgo,NAG,NGEN
C45.691.3,Hahahahhaha 😆😆😆😆😆,NAG,NGEN
C45.475,dur er thekeo valo valo mal amar hate hoy6e..,NAG,GEN
C58.262,গান্ডী এত কথা বলিস ক্যা???গান্ডুর গান্ডী....🤣🤣🤣,OAG,GEN
C59.1500,বালের ভিডিও,NAG,NGEN
C58.129,রানু মাগি দাঁতে পোকা আছে,CAG,GEN
C68.1125,Ekdom 100% thik katha bolechhen bhai.,NAG,NGEN
C67.145.1,Keno,NAG,NGEN
C59.2239,"Vikhari jmon Hoya uchit
Proman hoye gache",CAG,NGEN
C68.32,Ranudi na 'u' bad diye o Randi,OAG,GEN
C44.214,কিছু করার নেই সবই পরিস্থিতি করতে বাধ্য করে,NAG,NGEN
C68.1247,Pagli ache tai vul vhal montobbo korche 🤣🤣🤣🤣🤣🤣🤣,CAG,NGEN
C68.1303,শিয়া না ভিক্ষুর রানু,CAG,NGEN
C68.887,Mc Ranu mangal ar video baniye Koto taka income kr li,OAG,NGEN
C44.220,"Cousin Der modde biye hole ki hoi?
Aajkal onk Serial e to dekhasshe, Mashir meye, Pishir Meyer Sathe prem .......",NAG,NGEN
C59.184,Ja bolchen akdom thik bolchen,NAG,NGEN
C61.1011,Khanki magi ranu tora pitamu,OAG,GEN
C68.88,Ei magi ke pele juto diye mukh fatabo. Dekhle matha gorom hoi.... bhikari magi,OAG,GEN
C59.1848,Akdom 😂😂😂,NAG,NGEN
C44.136.1,Shudhu chele tar dos na... Meye tar o achhe,NAG,GEN
C59.2339,Dada sera....sera sera,NAG,NGEN
C59.1899,Nice DADA 👍👍👍,NAG,NGEN
C61.1217.1,Ranu akta gud Mara ni,OAG,GEN
C68.28,রানু মণ্ডলের কুকুরের নাক ওকে পুলিশ ডোগের চাকরি দাও জিবোনে বেশি সফল হবে,CAG,NGEN
C46.208.4,Sala ashifar moto aro muslim meye der rape kora uchit,OAG,GEN
C65.264,"Ai jonnoi bole midiyar maya khanki
Onnor songe dola doli
Kaj chara o aRA korte pocondo Kore",OAG,GEN
C45.407,Shob buri bal,NAG,GEN
C59.1471,আমিও একে কিছু বলতে চায় কিন্তু টেকনিকেল চ্যানেল হাওয়াই কিছু বলতে পারিনা,NAG,NGEN
C59.2025,Ekdom thi,NAG,NGEN
C44.26,Cccc ato karap,NAG,NGEN
C59.950,Baler ranu di 😠😠😠😡😡😡,OAG,NGEN
C61.2142,"rastar petni tui fokirni magoni manos k somman janis na rastar tukai abar
lomba lomba kotha",OAG,GEN
C59.644,Kochu gacha sutli dori diya atmahotha😆😆😆😆😆,NAG,NGEN
C59.50,"Mirakel a Dada dekhachi tomai,aj abr pothom YouTube a dekha khub khusi holam",NAG,NGEN
C59.2091,"Akdom carrect bossss,,,,",NAG,NGEN
C59.1887,Uni ekjon vag tora sala boka choda,OAG,NGEN
C59.1988.2,মোদির হাতে কেউ চা খেয়েছে আদোও,NAG,NGEN
C45.771.3,"বুক পকেটে রেখে লাইফ ভিডিও করেছে,,",NAG,NGEN
C44.90,Ae madarchat channel ta bondho kora uchit k k mot like,NAG,NGEN
C59.1433,Ota ke or maya?,NAG,NGEN
C65.427.2,"দেখে,,তো, তাই,মনে হয়,
পাগল, আর,ছাগল,,",CAG,NGEN
C68.564,Blchi ekhne koyel mallik.....Kothai gelo...🙄🙄,NAG,NGEN
C59.2053,দারুন টপিক।একদমই ঠিক ঠাক উওর।,NAG,NGEN
C45.659,যা তো চুদির ব্যাটা ২০০ টাকায় চুদবে আবার কত নাটক চোদায়😂😂🤣,CAG,GEN
C61.1354,অহংকার পতনের মূল. শালী ঢেমনী মাগী.বেইমান,OAG,GEN
C68.398.5,Kothy,NAG,NGEN
C68.480,ranu mondal ja boleche besh koreche,CAG,NGEN
C68.97,ভাই জাত ধর্ম বুঝি না আপনার কথা অনেক সুন্দর,NAG,NGEN
C68.1177,ভুল তো আপনাদের কিছু একটা পেলেই হলো ।,CAG,NGEN
C45.619,Kothai go place ta,NAG,NGEN
C59.1748,Vry gd n 100% ri8 ei Ranu nije ke bhabe ta ki 2 din hoy ni ekno r ekon e,NAG,NGEN
C46.209,"amra kon rajje a6i???? eto nogra manush o hoy tao rape korli korli meya take
merei felli?? eder pariya mara darkar 6ilo",OAG,NGEN
C45.701.4,00966571456033 imo,NAG,NGEN
C68.398,"ভিডিও টা সত্যি খুব ভালো লেগেছে, কিন্তু কোয়েল মল্লিক জুতো মারল কোথায়।।।।।🤔🤔",NAG,NGEN
C59.1630,👏👏👏👏👏,NAG,NGEN
C45.373,"দাদা এখানে কেউ অভাবে আসে কেউ সভাবে আসে তাই এদের নিয়ে মজা না করাই ভালো সবাই
খারাপ হয় না",NAG,NGEN
C59.686,"Khub chena lagche tomake....dada tomar bari kothay...????
Topic ta osadharon....wait korchilam",NAG,NGEN
C68.931,"রানুর তো লেখা পড়া নাই। এজন্যই তার কথা গুলো গুছিয়ে বলতে পারেন না।এই জন্যে মানুষ
তাঁর কথায় অনেক কষ্ট পায়।",NAG,NGEN
C68.1285.1,"কোথায় কি হচ্ছে, আর এই শালা র পোদ ফাটছে, বালের ভিডিও দেখাচ্ছে,",CAG,GEN
C59.2261,"Wt da 🖕🏿 ranu mandal,",NAG,NGEN
C68.1162,Vikkuk to vikkuki thakbe,CAG,NGEN
C68.347,Ranu mandal baitha chklil,NAG,NGEN
C61.416,tumi janty tumi ki .tumi catyr bal pagol cuda,CAG,GEN
C47.73,"**SOMAJe PURUSHo doshi hoy kichu. MOHILAo doshi hoy kichu. HIJREo doshi hoy
kichu. Ekhon EXTREME LEVELe jara EXPLOIT kawre tara ekprokarer ETOR. Kintu
tader kajkarmo diey kakhono puro somaj ba 3te GENDER JATIr jekono ek JATIke
bichar kora jaayna. Dujon bekti dosh korle aneksomoy bhebe dekhte hoy je BESHI
DOSHta kar??!! Noile etai holo byapar r GANGRAPE CASES ba MONUAr moto cases
apnara baad din, Generally Ekhaate TALIA bajena............**",NAG,GEN
C44.22,"এই ধরনের যারা ভিডিও করে, তাদের কে জান্ত পুড়িয়ে মারা উচিৎ,",OAG,NGEN
C62.251,"অপুর কথাই বোঝা যায় সে শাকিব এর সাথে চালাকি করেছে।ধর্ম নিয়ে শাকিবের সাথে নাটক
করছে। শাকিব কে বলেছে সে মুসলীম হয়েছে সব বিশ্বাস করে ইসলাম সম্পর্কে অথচো সে মনে
মনে হিন্দুই রয়ে গেছে।তাই তাদের এই বিয়েটা ইসলাম ধর্মমতে হয়নি। তাই বাচ্চাটা
অবৈধ।তাই শাকিব যা করেছে সঠিক করেছে অপু রেন্ডি কে মেনে না নিয়ে।",CAG,GEN
C68.512,খুব সুন্দর আলোচনা করছেন,NAG,NGEN
C45.193,এটা কোথায়?,NAG,NGEN
C61.413,Sali English chodai.,OAG,GEN
C59.18,Khanki magi ranu.mandal,OAG,GEN
C59.1439,Thik video baniyo6o vai,NAG,NGEN
C45.665,Joghonno .,NAG,NGEN
C46.88,Mollar bacha encounter kora uchit,OAG,NGEN
C45.366,Khanki😡,OAG,GEN
C59.1320,Ekdom thik kotha,NAG,NGEN
C59.728,Akdom e tik kotha,NAG,NGEN
C68.139,Eta to khanki.....,OAG,GEN
C59.1048,Akdm r8,NAG,NGEN
C68.679,ara pagol o ja muka asa tay bala,CAG,NGEN
C44.226.5,@হিয়াশা জামান হীর Tor gusti chudi,OAG,NGEN
C44.345.3,"সেক্স কোনসম্পরকো মানে না আমিজানি এটা উচিত নয় ,কিন্তু এটাই বাস্তব",NAG,NGEN
C65.368.1,হুমম তাই তো চাই সবাই,NAG,NGEN
C61.551,Babar bichi dekhachis madar chod bhikari.,OAG,GEN
